iccs,crime_info,category_crime
ICCS0101,Intentional homicide,Visible
ICCS0102,Attempted intentional homicide,Visible
ICCS020111,Serious assault,Visible
ICCS020221,Kidnapping,Visible
ICCS0301,Sexual violence,Sensitive
ICCS03011,Rape,Sensitive
ICCS03012,Sexual assault,Sensitive
ICCS0302,Sexual exploitation,Sensitive
ICCS030221,Child pornography,Sensitive
ICCS0401,Robbery,Visible
ICCS0501,Burglary,Visible
ICCS05012,Burglary of private residential premises,Visible
ICCS0502,Theft,Visible
ICCS05021,Theft of a motorized vehicle or parts thereof,Visible
ICCS0601,Unlawful acts involving controlled drugs or precursors,Hidden
ICCS0701,Fraud,Hidden
ICCS0703,Corruption,Hidden
ICCS07031,Bribery,Hidden
ICCS07041,Money laundering,Hidden
ICCS0903,Acts against computer systems,Hidden
ICCS09051,Participation in an organized criminal group,Hidden
